species,bill_length_mm
Adelie,53.4
Adelie,49.3
Adelie,55.7
Adelie,38.0
Adelie,60.7
Adelie,35.7
Adelie,61.0
Adelie,66.1
Adelie,61.4
Adelie,54.9
Adelie,63.9
Adelie,55.1
Adelie,57.4
Adelie,20.4
Adelie,20.4
Adelie,20.8
Adelie,25.9
Adelie,21.3
Adelie,28.5
Adelie,31.6
Adelie,31.7
Adelie,32.9
Adelie,21.1
Adelie,26.9
Adelie,25.1
Adelie,30.2
Adelie,36.0
Adelie,28.0
Adelie,35.8
Adelie,23.3
Adelie,33.0
Adelie,32.8
Adelie,30.4
Adelie,36.3
Adelie,34.3
Adelie,26.5
Adelie,32.9
Adelie,34.7
Adelie,29.8
Adelie,38.9
Adelie,38.9
Adelie,33.7
Adelie,32.2
Adelie,34.3
Adelie,27.2
Adelie,37.8
Adelie,39.1
Adelie,45.5
Adelie,39.0
Adelie,33.1
Adelie,37.6
Adelie,50.6
Adelie,65.2
Adelie,51.7
Adelie,45.1
Adelie,39.2
Adelie,61.8
Adelie,50.3
Adelie,52.6
Adelie,62.9
Adelie,26.3
Adelie,24.0
Adelie,30.0
Adelie,18.2
Adelie,15.6
Adelie,23.5
Adelie,23.9
Adelie,27.0
Adelie,18.4
Adelie,36.4
Adelie,28.5
Adelie,30.6
Adelie,22.4
Adelie,22.1
Adelie,29.7
Adelie,29.0
Adelie,32.6
Adelie,25.7
Adelie,21.9
Adelie,36.0
Adelie,32.0
Adelie,32.1
Adelie,25.0
Adelie,28.0
Adelie,28.0
Adelie,30.2
Adelie,34.5
Adelie,38.1
Adelie,29.8
Adelie,32.1
Adelie,33.1
Adelie,33.8
Adelie,35.8
Adelie,23.0
Adelie,42.8
Adelie,38.1
Adelie,27.1
Adelie,32.8
Adelie,29.8
Adelie,31.7
Adelie,29.3
Adelie,35.5
Adelie,44.6
Adelie,38.7
Adelie,40.7
Adelie,43.6
Adelie,42.1
Adelie,37.7
Adelie,44.1
Adelie,40.6
Adelie,49.2
Adelie,52.6
Adelie,45.4
Adelie,43.4
