age,sex,race
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,Black
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,White
17,1,White
17,2,White
17,2,Black
17,2,White
17,2,White
17,2,White
17,2,White
17,1,Black
17,2,White
17,1,White
17,2,Asian
17,2,White
17,1,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,Asian
17,2,White
17,1,White
17,2,White
17,1,White
17,1,Black
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,Black
17,2,White
17,1,Black
17,1,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,Black
17,1,White
17,1,White
17,1,White
17,2,Black
17,1,White
17,2,Black
17,1,White
17,2,Black
17,1,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,Black
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,Asian
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,White
17,1,White
17,2,Asian
17,1,White
17,2,White
17,2,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,Asian
17,2,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,Asian
17,2,White
17,2,White
17,2,White
17,1,Black
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,Black
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,1,Black
17,1,White
17,1,Asian
17,1,White
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,Black
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,Black
17,2,White
17,1,White
17,2,White
17,1,White
17,1,Asian
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,Black
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,1,Asian
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,Black
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,2,White
17,1,Black
17,1,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,1,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,1,Asian
17,1,White
17,2,White
17,2,Black
17,2,White
17,1,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,1,Black
17,2,Asian
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,2,Black
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,Black
17,2,White
17,2,White
17,1,White
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,1,Asian
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,1,Black
17,2,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,Black
17,1,White
17,1,White
17,2,White
17,2,Black
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,Black
17,2,White
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,2,White
17,2,White
17,2,White
17,2,White
17,1,White
17,1,Black
17,2,White
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,1,White
17,1,Black
17,1,Black
17,2,White
17,1,White
17,2,White
17,2,White
17,2,Black
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,1,Black
17,1,White
17,1,White
17,2,White
17,1,White
17,1,White
17,2,White
17,2,Black
17,2,White
17,1,White
17,2,White
17,2,White
17,1,White
17,1,Black
17,1,White
17,1,White
17,1,White
17,2,White
17,1,White
17,1,White
17,1,White
17,1,White
17,1,White
17,2,White
17,2,White
18,2,White
18,2,White
18,1,White
18,1,White
18,1,White
18,2,White
18,1,White
18,2,White
18,2,White
18,1,White
18,2,Black
18,2,White
18,2,White
18,2,White
18,1,Asian
18,1,White
18,1,White
18,1,White
18,1,Asian
18,2,White
18,2,White
18,1,White
18,2,White
18,1,White
18,2,Black
18,1,White
18,2,White
18,2,White
18,1,White
18,2,White
18,2,White
18,1,White
18,2,White
18,2,White
18,2,White
18,1,White
18,2,White
18,1,White
18,2,White
18,2,White
18,2,White
18,2,White
18,1,Black
18,2,White
18,2,White
18,2,White
18,1,White
18,2,White
18,1,White
18,1,White
18,1,White
18,1,White
18,2,White
18,2,White
18,2,White
18,2,White
18,1,White
18,2,White
18,1,White
18,1,White
18,1,White
18,2,White
18,1,White
18,1,White
18,2,White
18,2,White
18,2,White
18,1,White
18,2,Black
18,1,White
18,1,White
18,1,Black
18,1,White
18,2,White
18,2,Asian
18,1,White
18,2,White
18,2,White
18,1,White
18,1,White
18,2,Black
18,2,White
18,1,White
18,2,Black
18,2,White
18,2,White
18,2,White
18,2,White
18,1,White
18,1,White
18,1,Asian
18,1,White
18,1,White
18,1,White
18,1,White
18,2,White
18,2,Black
18,2,White
18,2,White
18,2,White
18,2,White
18,1,White
18,1,White
18,1,White
18,1,White
18,2,White
18,1,White
18,1,White
18,2,White
18,1,White
18,1,White
18,2,White
18,1,White
18,1,White
18,2,White
18,2,White
18,2,White
18,2,White
18,2,White
18,2,Black
18,1,White
18,1,White
18,2,White
18,2,White
18,2,White
18,2,Black
18,1,White
18,2,White
18,1,White
18,1,White
18,2,White
18,1,White
18,2,White
18,1,White
18,2,White
18,1,White
18,2,White
18,2,White
18,2,White
18,2,White
18,2,Black
