2000
3 0
4575 431 522 
4329 686 1969 
4018 4698 4995 
4118 4301 4344 
2791 1763 4235 
4988 4104 3299 
3726 598 955 
4347 3675 2105 
341 2903 2233 
4850 2292 2139 
281 2736 3762 
380 2923 2151 
723 2538 3971 
1644 4277 1344 
4948 4098 24 
4903 4555 1827 
4940 2900 4453 
4557 2770 2169 
1774 411 4550 
4995 3422 56 
2169 3016 4858 
4618 1900 743 
3046 146 3978 
1850 2284 4185 
4235 1837 3122 
3247 1501 4201 
1136 709 1987 
3449 2023 3485 
646 4542 1191 
1968 4826 326 
4065 1478 948 
1705 3350 2173 
2969 2657 3618 
967 2029 3066 
4100 3892 2796 
3029 3437 4985 
4379 673 15 
254 4324 2 
3046 276 274 
3484 1102 2388 
987 4630 4177 
1842 8 85 
2617 4112 2723 
223 2084 65 
4245 2254 2528 
591 4561 3837 
4944 3031 502 
2528 220 220 
1542 1399 4199 
4161 3394 1565 
3144 887 3968 
2689 2642 1662 
4442 1324 2710 
1464 2800 659 
4333 2177 3240 
2503 3403 2753 
3308 3716 2215 
409 1399 1158 
3606 2616 4797 
4550 3831 2209 
3954 211 2698 
1054 92 4545 
644 4295 3167 
3163 1185 2095 
3884 4017 4906 
356 3219 1037 
256 2492 4433 
1234 4548 3485 
2942 626 2699 
3840 1465 1539 
3347 4483 4795 
3069 2971 4534 
3353 421 4478 
3171 4127 4185 
1078 4568 1670 
758 2435 4382 
3153 533 3111 
481 4677 589 
3181 1786 4280 
1283 1023 2960 
1084 2238 1844 
1630 377 1811 
410 3114 3984 
2628 3959 1965 
191 719 1637 
1292 2417 3079 
3411 3379 4079 
2278 2632 3194 
196 4279 385 
2091 2262 2781 
4713 3792 1856 
963 2888 3169 
4990 1810 3398 
3586 4243 212 
3563 4235 1234 
27 990 1476 
1965 3704 3172 
136 1174 1377 
3632 4042 4291 
4003 1514 4970 
3250 1252 4697 
4169 2613 2007 
84 1563 1770 
149 3201 71 
1219 1145 4637 
3267 2334 873 
3649 4782 2249 
4534 597 4758 
949 953 3781 
4052 2707 1926 
4773 988 4819 
4332 2938 3822 
3598 3868 4931 
2974 3627 2572 
296 1714 4617 
1518 2713 1740 
4018 459 2945 
1328 4083 2517 
4779 3215 1040 
3450 3187 2870 
343 387 3146 
4718 4499 3040 
2683 1310 2655 
2959 596 210 
287 3996 2476 
306 1818 2840 
1759 1586 3229 
1920 1922 4076 
4732 1733 3509 
2507 3990 4127 
2985 1631 1580 
3011 1397 2961 
406 1166 4666 
1686 2504 2972 
749 221 1911 
3695 36 4920 
276 1719 2865 
3395 4282 4863 
2330 2201 4832 
3934 983 4179 
1857 4383 2472 
1870 3955 3018 
1707 1361 1641 
1779 208 1527 
126 4393 2172 
3513 2158 2843 
4449 11 2060 
3445 871 1950 
173 1614 1029 
468 2592 113 
1347 2300 1274 
2877 2843 1043 
